        'ru_RU': {
        'others': "інші",
        'total_budget': "Загальний бюджет",
        'spent': "витрачено",
        'overspent': "перевитрачений",
        'left': "зліва",
        'overspending': "перевитрата",
        'budget_allocated': "Виділено бюджет",
        'amount_spent': "Витрачена сума",
        'overspent_by': "Перевитрачено",
        'remaining': "Залишилося",
        },
